Corr_Gen,Fam.ID,EL1_mm,EL2_mm,EL1,EL2,ID
G0_F1,Fam.1,2.56,2.4,2560,2400,Female
G0_F1,Fam.4,2.43,2.39,2430,2390,Female
G0_F1,Fam.5,2.53,2.58,2530,2580,Female
G0_F1,Fam.6,2.61,2.55,2610,2550,Female
G0_F1,Fam.7,2.58,2.41,2580,2410,Female
G0_F1,Fam.8,2.48,2.45,2480,2450,Female
G0_F1,Fam.9,2.56,2.61,2560,2610,Female
G0_F1,Fam.11,2.59,2.46,2590,2460,Female
G0_F1,Fam.12,2.45,2.43,2450,2430,Female
G0_F1,Fam.13,2.52,2.5,2520,2500,Female
G0_F1,Fam.14,2.55,2.6,2550,2600,Female
G0_F1,Fam.16,2.56,2.55,2560,2550,Female
G0_F1,Fam.17,2.7,2.47,2700,2470,Female
G0_F1,Fam.18,2.54,2.56,2540,2560,Female
G0_F1,Fam.19,2.56,2.77,2560,2770,Female
G0_F1,Fam.20,2.52,2.51,2520,2510,Female
G0_F1,Fam.21,2.5,2.57,2500,2570,Female
G0_F1,Fam.22,2.5,2.51,2500,2510,Female
G0_F1,Fam.23,2.5,2.46,2500,2460,Female
G0_F1,Fam.24,2.45,2.4,2450,2400,Female
G0_F1,Fam.27,2.67,2.6,2670,2600,Female
G0_F1,Fam.31,2.63,2.46,2630,2460,Female
G0_F1,Fam.32,2.7,2.58,2700,2580,Female
G0_F1,Fam.33,2.58,2.55,2580,2550,Female
G0_F1,Fam.34,2.36,2.55,2360,2550,Female
G0_F1,Fam.35,2.54,2.49,2540,2490,Female
G0_F1,Fam.38,2.66,2.47,2660,2470,Female
G0_F1,Fam.39,2.57,2.68,2570,2680,Female
G0_F1,Fam.40,2.58,2.55,2580,2550,Female
G0_F1,Fam.42,2.57,2.46,2570,2460,Female
G0_F1,Fam.43,2.4,2.52,2400,2520,Female
G0_F1,Fam.44,2.53,2.6,2530,2600,Female
G0_F1,Fam.45,2.64,2.64,2640,2640,Female
F1_F2,Fam.1,2.4,2.42,2400,2420,Female
F1_F2,Fam.4,2.39,2.43,2390,2430,Female
F1_F2,Fam.5,2.58,2.49,2580,2490,Female
F1_F2,Fam.6,2.55,2.74,2550,2740,Female
F1_F2,Fam.7,2.41,2.44,2410,2440,Female
F1_F2,Fam.8,2.45,2.45,2450,2450,Female
F1_F2,Fam.9,2.61,2.6,2610,2600,Female
F1_F2,Fam.11,2.46,2.51,2460,2510,Female
F1_F2,Fam.12,2.43,2.51,2430,2510,Female
F1_F2,Fam.13,2.5,2.56,2500,2560,Female
F1_F2,Fam.14,2.6,2.67,2600,2670,Female
F1_F2,Fam.16,2.55,2.4,2550,2400,Female
F1_F2,Fam.17,2.47,2.6,2470,2600,Female
F1_F2,Fam.18,2.56,2.65,2560,2650,Female
F1_F2,Fam.19,2.77,2.62,2770,2620,Female
F1_F2,Fam.20,2.51,2.6,2510,2600,Female
F1_F2,Fam.21,2.57,2.6,2570,2600,Female
F1_F2,Fam.22,2.51,2.44,2510,2440,Female
F1_F2,Fam.23,2.46,2.47,2460,2470,Female
F1_F2,Fam.24,2.4,2.43,2400,2430,Female
F1_F2,Fam.27,2.6,2.55,2600,2550,Female
F1_F2,Fam.31,2.46,2.46,2460,2460,Female
F1_F2,Fam.32,2.58,2.66,2580,2660,Female
F1_F2,Fam.33,2.55,2.56,2550,2560,Female
F1_F2,Fam.34,2.55,2.47,2550,2470,Female
F1_F2,Fam.35,2.49,2.46,2490,2460,Female
F1_F2,Fam.38,2.47,2.62,2470,2620,Female
F1_F2,Fam.39,2.68,2.51,2680,2510,Female
F1_F2,Fam.40,2.55,2.64,2550,2640,Female
F1_F2,Fam.42,2.46,2.53,2460,2530,Female
F1_F2,Fam.43,2.52,2.38,2520,2380,Female
F1_F2,Fam.44,2.6,2.58,2600,2580,Female
F1_F2,Fam.45,2.64,2.52,2640,2520,Female
F2_F3,Fam.1,2.42,2.2,2420,2200,Female
F2_F3,Fam.4,2.43,2.48,2430,2480,Female
F2_F3,Fam.5,2.49,2.52,2490,2520,Female
F2_F3,Fam.6,2.74,2.69,2740,2690,Female
F2_F3,Fam.7,2.44,2.47,2440,2470,Female
F2_F3,Fam.8,2.45,2.52,2450,2520,Female
