Corr_Gen,Fam.ID,EL1_mm,EL2_mm,EL1,EL2,ID
G0_F1,Fam.1,2.327,2.347,2327,2347,Male
G0_F1,Fam.4,2.234,2.36,2234,2360,Male
G0_F1,Fam.5,2.371,2.502,2371,2502,Male
G0_F1,Fam.6,2.498,2.576,2498,2576,Male
G0_F1,Fam.7,2.573,2.354,2573,2354,Male
G0_F1,Fam.8,2.422,2.279,2422,2279,Male
G0_F1,Fam.9,2.62,2.562,2620,2562,Male
G0_F1,Fam.11,2.589,2.458,2589,2458,Male
G0_F1,Fam.12,2.407,2.157,2407,2157,Male
G0_F1,Fam.13,2.421,2.416,2421,2416,Male
G0_F1,Fam.14,2.47,2.419,2470,2419,Male
G0_F1,Fam.16,2.411,2.428,2411,2428,Male
G0_F1,Fam.17,2.378,2.405,2378,2405,Male
G0_F1,Fam.18,2.623,2.469,2623,2469,Male
G0_F1,Fam.19,2.493,2.443,2493,2443,Male
G0_F1,Fam.20,2.503,2.388,2503,2388,Male
G0_F1,Fam.21,2.482,2.452,2482,2452,Male
G0_F1,Fam.22,2.501,2.433,2501,2433,Male
G0_F1,Fam.23,2.375,2.389,2375,2389,Male
G0_F1,Fam.24,2.427,2.303,2427,2303,Male
G0_F1,Fam.27,2.578,2.501,2578,2501,Male
G0_F1,Fam.31,2.398,2.51,2398,2510,Male
G0_F1,Fam.32,2.494,2.611,2494,2611,Male
G0_F1,Fam.33,2.451,2.433,2451,2433,Male
G0_F1,Fam.34,2.436,2.347,2436,2347,Male
G0_F1,Fam.35,2.603,2.532,2603,2532,Male
G0_F1,Fam.38,2.564,2.464,2564,2464,Male
G0_F1,Fam.39,2.403,2.465,2403,2465,Male
G0_F1,Fam.40,2.439,2.497,2439,2497,Male
G0_F1,Fam.42,2.333,2.43,2333,2430,Male
G0_F1,Fam.43,2.468,2.46,2468,2460,Male
G0_F1,Fam.44,2.545,2.371,2545,2371,Male
G0_F1,Fam.45,2.517,2.588,2517,2588,Male
F1_F2,Fam.1,2.347,2.328,2347,2328,Male
F1_F2,Fam.4,2.36,2.337,2360,2337,Male
F1_F2,Fam.5,2.502,2.424,2502,2424,Male
F1_F2,Fam.6,2.576,2.506,2576,2506,Male
F1_F2,Fam.7,2.354,2.396,2354,2396,Male
F1_F2,Fam.8,2.279,2.408,2279,2408,Male
F1_F2,Fam.9,2.562,2.457,2562,2457,Male
F1_F2,Fam.11,2.458,2.506,2458,2506,Male
F1_F2,Fam.12,2.157,2.399,2157,2399,Male
F1_F2,Fam.13,2.416,2.484,2416,2484,Male
F1_F2,Fam.14,2.419,2.344,2419,2344,Male
F1_F2,Fam.16,2.428,2.393,2428,2393,Male
F1_F2,Fam.17,2.405,2.441,2405,2441,Male
F1_F2,Fam.18,2.469,2.471,2469,2471,Male
F1_F2,Fam.19,2.443,2.532,2443,2532,Male
F1_F2,Fam.20,2.388,2.484,2388,2484,Male
F1_F2,Fam.21,2.452,2.398,2452,2398,Male
F1_F2,Fam.22,2.433,2.476,2433,2476,Male
F1_F2,Fam.23,2.389,2.408,2389,2408,Male
F1_F2,Fam.24,2.303,2.323,2303,2323,Male
F1_F2,Fam.27,2.501,2.511,2501,2511,Male
F1_F2,Fam.31,2.51,2.347,2510,2347,Male
F1_F2,Fam.32,2.611,2.542,2611,2542,Male
F1_F2,Fam.33,2.433,2.447,2433,2447,Male
F1_F2,Fam.34,2.347,2.386,2347,2386,Male
F1_F2,Fam.35,2.532,2.508,2532,2508,Male
F1_F2,Fam.38,2.464,2.328,2464,2328,Male
F1_F2,Fam.39,2.465,2.298,2465,2298,Male
F1_F2,Fam.40,2.497,2.613,2497,2613,Male
F1_F2,Fam.42,2.43,2.505,2430,2505,Male
F1_F2,Fam.43,2.46,2.396,2460,2396,Male
F1_F2,Fam.44,2.371,2.378,2371,2378,Male
F1_F2,Fam.45,2.588,2.533,2588,2533,Male
F2_F3,Fam.1,2.328,2.431,2328,2431,Male
F2_F3,Fam.4,2.337,2.399,2337,2399,Male
F2_F3,Fam.5,2.424,2.255,2424,2255,Male
F2_F3,Fam.6,2.506,2.557,2506,2557,Male
F2_F3,Fam.7,2.396,2.292,2396,2292,Male
F2_F3,Fam.8,2.408,2.38,2408,2380,Male
F2_F3,Fam.9,2.457,2.469,2457,2469,Male
F2_F3,Fam.11,2.506,2.497,2506,2497,Male
F2_F3,Fam.12,2.399,2.442,2399,2442,Male
F2_F3,Fam.13,2.484,2.408,2484,2408,Male
F2_F3,Fam.14,2.344,2.39,2344,2390,Male
F2_F3,Fam.16,2.393,2.354,2393,2354,Male
F2_F3,Fam.17,2.441,2.452,2441,2452,Male
F2_F3,Fam.18,2.471,2.515,2471,2515,Male
F2_F3,Fam.19,2.532,2.541,2532,2541,Male
F2_F3,Fam.20,2.484,2.371,2484,2371,Male
F2_F3,Fam.21,2.398,2.372,2398,2372,Male
F2_F3,Fam.22,2.476,2.345,2476,2345,Male
F2_F3,Fam.23,2.408,2.354,2408,2354,Male
F2_F3,Fam.24,2.323,2.311,2323,2311,Male
F2_F3,Fam.27,2.511,2.476,2511,2476,Male
F2_F3,Fam.31,2.347,2.326,2347,2326,Male
F2_F3,Fam.32,2.542,2.458,2542,2458,Male
F2_F3,Fam.33,2.447,2.145,2447,2145,Male
F2_F3,Fam.34,2.386,2.3,2386,2300,Male
F2_F3,Fam.35,2.508,2.366,2508,2366,Male
F2_F3,Fam.38,2.328,2.413,2328,2413,Male
F2_F3,Fam.39,2.298,2.244,2298,2244,Male
F2_F3,Fam.40,2.613,2.409,2613,2409,Male
F2_F3,Fam.42,2.505,2.537,2505,2537,Male
F2_F3,Fam.43,2.396,2.441,2396,2441,Male
F2_F3,Fam.44,2.378,2.222,2378,2222,Male
F2_F3,Fam.45,2.533,2.361,2533,2361,Male
F3_F4,Fam.1,2.431,2.375,2431,2375,Male
F3_F4,Fam.4,2.399,2.371,2399,2371,Male
F3_F4,Fam.5,2.255,2.285,2255,2285,Male
F3_F4,Fam.6,2.557,2.416,2557,2416,Male
F3_F4,Fam.7,2.292,2.362,2292,2362,Male
F3_F4,Fam.8,2.38,2.338,2380,2338,Male
F3_F4,Fam.9,2.469,2.462,2469,2462,Male
F3_F4,Fam.11,2.497,2.494,2497,2494,Male
F3_F4,Fam.12,2.442,2.397,2442,2397,Male
F3_F4,Fam.13,2.408,2.344,2408,2344,Male
F3_F4,Fam.14,2.39,2.39,2390,2390,Male
F3_F4,Fam.16,2.354,2.275,2354,2275,Male
F3_F4,Fam.17,2.452,2.477,2452,2477,Male
F3_F4,Fam.18,2.515,2.411,2515,2411,Male
F3_F4,Fam.19,2.541,2.537,2541,2537,Male
F3_F4,Fam.20,2.371,2.395,2371,2395,Male
F3_F4,Fam.21,2.372,2.367,2372,2367,Male
F3_F4,Fam.22,2.345,2.299,2345,2299,Male
F3_F4,Fam.23,2.354,2.345,2354,2345,Male
F3_F4,Fam.24,2.311,2.203,2311,2203,Male
F3_F4,Fam.27,2.476,2.509,2476,2509,Male
F3_F4,Fam.31,2.326,2.433,2326,2433,Male
F3_F4,Fam.32,2.458,2.521,2458,2521,Male
F3_F4,Fam.33,2.145,2.35,2145,2350,Male
F3_F4,Fam.34,2.3,2.253,2300,2253,Male
F3_F4,Fam.35,2.366,2.359,2366,2359,Male
F3_F4,Fam.38,2.413,2.315,2413,2315,Male
F3_F4,Fam.39,2.244,2.269,2244,2269,Male
F3_F4,Fam.40,2.409,2.402,2409,2402,Male
F3_F4,Fam.42,2.537,2.388,2537,2388,Male
F3_F4,Fam.43,2.441,2.404,2441,2404,Male
F3_F4,Fam.44,2.222,2.41,2222,2410,Male
F3_F4,Fam.45,2.361,2.417,2361,2417,Male
