Corr_Gen,Fam.ID,Age1_weeks,Age2_weeks,ID
G0_F1,1,86,34,Male
G0_F1,2,80,53,Male
G0_F1,5,84,53,Male
G0_F1,6,92,51,Male
G0_F1,7,92,77,Male
G0_F1,8,90,67,Male
G0_F1,9,80,57,Male
G0_F1,10,72,55,Male
G0_F1,11,84,49,Male
G0_F1,12,72,77,Male
G0_F1,13,68,69,Male
G0_F1,14,76,61,Male
G0_F1,15,50,81,Male
G0_F1,17,82,57,Male
G0_F1,18,84,81,Male
G0_F1,19,76,60,Male
G0_F1,20,94,71,Male
G0_F1,21,72,81,Male
G0_F1,22,102,63,Male
G0_F1,23,68,17,Male
G0_F1,24,56,21,Male
G0_F1,27,46,75,Male
G0_F1,31,92,65,Male
G0_F1,32,72,51,Male
G0_F1,33,90,41,Male
G0_F1,34,44,71,Male
G0_F1,35,90,65,Male
G0_F1,37,60,43,Male
G0_F1,38,64,55,Male
G0_F1,39,76,49,Male
G0_F1,40,90,65,Male
G0_F1,42,64,95,Male
G0_F1,43,86,39,Male
G0_F1,44,68,43,Male
G0_F1,45,86,91,Male
F1_F2,1,34,67,Male
F1_F2,2,53,73,Male
F1_F2,5,53,47,Male
F1_F2,6,51,59,Male
F1_F2,7,77,53,Male
F1_F2,8,67,71,Male
F1_F2,9,57,63,Male
F1_F2,10,55,65,Male
F1_F2,11,49,67,Male
F1_F2,12,77,51,Male
F1_F2,13,69,63,Male
F1_F2,14,61,41,Male
F1_F2,15,81,63,Male
F1_F2,17,57,53,Male
F1_F2,18,81,65,Male
F1_F2,19,60,43,Male
F1_F2,20,71,73,Male
F1_F2,21,81,37,Male
F1_F2,22,63,75,Male
F1_F2,23,17,67,Male
F1_F2,24,21,57,Male
F1_F2,27,75,61,Male
F1_F2,31,65,55,Male
F1_F2,32,51,53,Male
F1_F2,33,41,61,Male
F1_F2,34,71,45,Male
F1_F2,35,65,69,Male
F1_F2,37,43,53,Male
F1_F2,38,55,51,Male
F1_F2,39,49,83,Male
F1_F2,40,65,83,Male
F1_F2,42,95,75,Male
F1_F2,43,39,77,Male
F1_F2,44,43,85,Male
F1_F2,45,91,89,Male
F2_F3,1,67,43,Male
F2_F3,2,73,64,Male
F2_F3,5,47,61,Male
F2_F3,6,59,21,Male
F2_F3,7,53,31,Male
F2_F3,8,71,43,Male
F2_F3,9,63,69,Male
F2_F3,10,65,49,Male
F2_F3,11,67,43,Male
F2_F3,12,51,57,Male
F2_F3,13,63,31,Male
F2_F3,14,41,78,Male
F2_F3,15,63,49,Male
F2_F3,17,53,43,Male
F2_F3,18,65,61,Male
F2_F3,19,43,53,Male
F2_F3,20,73,59,Male
F2_F3,21,37,41,Male
F2_F3,22,75,86,Male
F2_F3,23,67,25,Male
F2_F3,24,57,71,Male
F2_F3,27,61,59,Male
F2_F3,31,55,66,Male
F2_F3,32,53,57,Male
F2_F3,33,61,82,Male
F2_F3,34,45,65,Male
F2_F3,35,69,69,Male
F2_F3,37,53,37,Male
F2_F3,38,51,33,Male
F2_F3,39,83,57,Male
F2_F3,40,83,78,Male
F2_F3,42,75,84,Male
F2_F3,43,77,65,Male
F2_F3,44,85,69,Male
F2_F3,45,89,84,Male
F3_F4,1,43,33,Male
F3_F4,2,64,87,Male
F3_F4,5,61,61,Male
F3_F4,6,21,1,Male
F3_F4,7,31,23,Male
F3_F4,8,43,63,Male
F3_F4,9,69,43,Male
F3_F4,10,49,8,Male
F3_F4,11,43,23,Male
F3_F4,12,57,33,Male
F3_F4,13,31,1,Male
F3_F4,14,78,41,Male
F3_F4,15,49,1,Male
F3_F4,17,43,37,Male
F3_F4,18,61,51,Male
F3_F4,19,53,21,Male
F3_F4,20,59,2,Male
F3_F4,21,41,16,Male
F3_F4,22,86,59,Male
F3_F4,23,25,27,Male
F3_F4,24,71,45,Male
F3_F4,27,59,45,Male
F3_F4,31,66,91,Male
F3_F4,32,57,41,Male
F3_F4,33,82,79,Male
F3_F4,34,65,37,Male
F3_F4,35,69,27,Male
F3_F4,37,37,29,Male
F3_F4,38,33,61,Male
F3_F4,39,57,57,Male
F3_F4,40,78,35,Male
F3_F4,42,84,57,Male
F3_F4,43,65,25,Male
F3_F4,44,69,1,Male
F3_F4,45,84,17,Male
F4_F5,1,33,1,Male
F4_F5,2,87,79,Male
F4_F5,5,61,43,Male
F4_F5,6,1,33,Male
F4_F5,7,23,23,Male
F4_F5,8,63,63,Male
F4_F5,9,43,33,Male
F4_F5,10,8,35,Male
F4_F5,11,23,27,Male
F4_F5,12,33,53,Male
F4_F5,13,1,31,Male
F4_F5,14,41,49,Male
F4_F5,15,1,63,Male
F4_F5,17,37,9,Male
F4_F5,18,51,67,Male
F4_F5,19,21,65,Male
F4_F5,20,2,31,Male
F4_F5,21,16,27,Male
F4_F5,22,59,29,Male
F4_F5,23,27,41,Male
F4_F5,24,45,17,Male
F4_F5,27,45,1,Male
F4_F5,31,91,45,Male
F4_F5,32,41,41,Male
F4_F5,33,79,31,Male
F4_F5,34,37,49,Male
F4_F5,35,27,39,Male
F4_F5,37,29,6,Male
F4_F5,38,61,41,Male
F4_F5,39,57,19,Male
F4_F5,40,35,51,Male
F4_F5,42,57,43,Male
F4_F5,43,25,67,Male
F4_F5,44,1,39,Male
F4_F5,45,17,35,Male
F5_F6,1,1,31,Male
F5_F6,2,79,43,Male
F5_F6,5,43,49,Male
F5_F6,6,33,3,Male
F5_F6,7,23,59,Male
F5_F6,8,63,35,Male
F5_F6,9,33,61,Male
F5_F6,10,35,1,Male
F5_F6,11,27,1,Male
F5_F6,12,53,45,Male
F5_F6,13,31,57,Male
F5_F6,14,49,21,Male
F5_F6,15,63,41,Male
F5_F6,17,9,15,Male
F5_F6,18,67,45,Male
F5_F6,19,65,51,Male
F5_F6,20,31,49,Male
F5_F6,21,27,33,Male
F5_F6,22,29,61,Male
F5_F6,23,41,61,Male
F5_F6,24,17,37,Male
F5_F6,27,1,1,Male
F5_F6,31,45,13,Male
F5_F6,32,41,13,Male
F5_F6,33,31,47,Male
F5_F6,34,49,5,Male
F5_F6,35,39,69,Male
F5_F6,37,6,1,Male
F5_F6,38,41,43,Male
F5_F6,39,19,25,Male
F5_F6,40,51,59,Male
F5_F6,42,43,75,Male
F5_F6,43,67,69,Male
F5_F6,44,39,57,Male
F5_F6,45,35,1,Male
