Corr_Gen,Fam.ID,Ofs1,Ofs2
G0_F1,Fam.1,163,103
G0_F1,Fam.2,104,38
G0_F1,Fam.5,125,144
G0_F1,Fam.6,126,129
G0_F1,Fam.7,127,99
G0_F1,Fam.8,157,95
G0_F1,Fam.9,81,87
G0_F1,Fam.10,106,82
G0_F1,Fam.11,117,116
G0_F1,Fam.12,103,139
G0_F1,Fam.13,151,104
G0_F1,Fam.14,134,55
G0_F1,Fam.16,61,74
G0_F1,Fam.17,132,121
G0_F1,Fam.18,131,142
G0_F1,Fam.19,92,90
G0_F1,Fam.20,150,121
G0_F1,Fam.21,154,80
G0_F1,Fam.22,106,113
G0_F1,Fam.23,126,119
G0_F1,Fam.24,153,108
G0_F1,Fam.27,44,126
G0_F1,Fam.31,53,101
G0_F1,Fam.32,144,158
G0_F1,Fam.33,120,87
G0_F1,Fam.34,128,104
G0_F1,Fam.35,125,26
G0_F1,Fam.37,120,78
G0_F1,Fam.38,101,98
G0_F1,Fam.39,117,108
G0_F1,Fam.40,75,103
G0_F1,Fam.42,128,91
G0_F1,Fam.43,101,64
G0_F1,Fam.44,151,32
G0_F1,Fam.45,125,102
F1_F2,Fam.1,103,57
F1_F2,Fam.2,38,28
F1_F2,Fam.5,144,115
F1_F2,Fam.6,129,91
F1_F2,Fam.7,99,69
F1_F2,Fam.8,95,55
F1_F2,Fam.9,87,90
F1_F2,Fam.10,82,27
F1_F2,Fam.11,116,63
F1_F2,Fam.12,139,57
F1_F2,Fam.13,104,117
F1_F2,Fam.14,55,78
F1_F2,Fam.16,74,106
F1_F2,Fam.17,121,93
F1_F2,Fam.18,142,114
F1_F2,Fam.19,90,113
F1_F2,Fam.20,121,58
F1_F2,Fam.21,80,109
F1_F2,Fam.22,113,107
F1_F2,Fam.23,119,38
F1_F2,Fam.24,108,80
F1_F2,Fam.27,126,108
F1_F2,Fam.31,101,43
F1_F2,Fam.32,158,111
F1_F2,Fam.33,87,45
F1_F2,Fam.34,104,74
F1_F2,Fam.35,26,75
F1_F2,Fam.37,78,89
F1_F2,Fam.38,98,111
F1_F2,Fam.39,108,94
F1_F2,Fam.40,103,94
F1_F2,Fam.42,91,91
F1_F2,Fam.43,64,22
F1_F2,Fam.44,32,65
F1_F2,Fam.45,102,92
F2_F3,Fam.1,57,65
F2_F3,Fam.2,28,81
F2_F3,Fam.5,115,109
F2_F3,Fam.6,91,48
F2_F3,Fam.7,69,10
F2_F3,Fam.8,55,94
F2_F3,Fam.9,90,69
F2_F3,Fam.10,27,37
F2_F3,Fam.11,63,82
F2_F3,Fam.12,57,67
F2_F3,Fam.13,117,116
F2_F3,Fam.14,78,46
F2_F3,Fam.16,106,35
F2_F3,Fam.17,93,82
F2_F3,Fam.18,114,78
F2_F3,Fam.19,113,90
F2_F3,Fam.20,58,96
F2_F3,Fam.21,109,112
F2_F3,Fam.22,107,76
F2_F3,Fam.23,38,131
F2_F3,Fam.24,80,72
F2_F3,Fam.27,108,71
F2_F3,Fam.31,43,91
F2_F3,Fam.32,111,125
F2_F3,Fam.33,45,39
F2_F3,Fam.34,74,48
F2_F3,Fam.35,75,86
F2_F3,Fam.37,89,35
F2_F3,Fam.38,111,92
F2_F3,Fam.39,94,101
F2_F3,Fam.40,94,120
F2_F3,Fam.42,91,105
F2_F3,Fam.43,22,20
F2_F3,Fam.44,65,61
F2_F3,Fam.45,92,76
F3_F4,Fam.1,65,35
F3_F4,Fam.2,81,48
F3_F4,Fam.5,109,67
F3_F4,Fam.6,48,48
F3_F4,Fam.7,10,57
F3_F4,Fam.8,94,44
F3_F4,Fam.9,69,46
F3_F4,Fam.10,37,16
F3_F4,Fam.11,82,28
F3_F4,Fam.12,67,80
F3_F4,Fam.13,116,57
F3_F4,Fam.14,46,78
F3_F4,Fam.16,35,12
F3_F4,Fam.17,82,35
F3_F4,Fam.18,78,63
F3_F4,Fam.19,90,90
F3_F4,Fam.20,96,51
F3_F4,Fam.21,112,85
F3_F4,Fam.22,76,84
F3_F4,Fam.23,131,53
F3_F4,Fam.24,72,32
F3_F4,Fam.27,71,71
F3_F4,Fam.31,91,74
F3_F4,Fam.32,125,128
F3_F4,Fam.33,39,23
F3_F4,Fam.34,48,74
F3_F4,Fam.35,86,83
F3_F4,Fam.37,35,7
F3_F4,Fam.38,92,77
F3_F4,Fam.39,101,27
F3_F4,Fam.40,120,95
F3_F4,Fam.42,105,66
F3_F4,Fam.43,20,52
F3_F4,Fam.44,61,8
F3_F4,Fam.45,76,69
F4_F5,Fam.1,35,18
F4_F5,Fam.2,48,17
F4_F5,Fam.5,67,65
F4_F5,Fam.6,48,21
F4_F5,Fam.7,57,12
F4_F5,Fam.8,44,85
F4_F5,Fam.9,46,51
F4_F5,Fam.10,16,13
F4_F5,Fam.11,28,69
F4_F5,Fam.12,80,22
F4_F5,Fam.13,57,38
F4_F5,Fam.14,78,66
F4_F5,Fam.16,12,10
F4_F5,Fam.17,35,81
F4_F5,Fam.18,63,76
F4_F5,Fam.19,90,101
F4_F5,Fam.20,51,17
F4_F5,Fam.21,85,78
F4_F5,Fam.22,84,66
F4_F5,Fam.23,53,55
F4_F5,Fam.24,32,49
F4_F5,Fam.27,71,39
F4_F5,Fam.31,74,73
F4_F5,Fam.32,128,82
F4_F5,Fam.33,23,26
F4_F5,Fam.34,74,66
F4_F5,Fam.35,83,97
F4_F5,Fam.37,7,26
F4_F5,Fam.38,77,67
F4_F5,Fam.39,27,66
F4_F5,Fam.40,95,44
F4_F5,Fam.42,66,70
F4_F5,Fam.43,52,55
F4_F5,Fam.44,8,19
F4_F5,Fam.45,69,9
F5_F6,Fam.1,18,54
F5_F6,Fam.2,17,35
F5_F6,Fam.5,65,58
F5_F6,Fam.6,21,41
F5_F6,Fam.7,12,36
F5_F6,Fam.8,85,45
F5_F6,Fam.9,51,22
F5_F6,Fam.10,13,3
F5_F6,Fam.11,69,8
F5_F6,Fam.12,22,43
F5_F6,Fam.13,38,52
F5_F6,Fam.14,66,22
F5_F6,Fam.16,10,8
F5_F6,Fam.17,81,35
F5_F6,Fam.18,76,37
F5_F6,Fam.19,101,54
F5_F6,Fam.20,17,23
F5_F6,Fam.21,78,57
F5_F6,Fam.22,66,66
F5_F6,Fam.23,55,19
F5_F6,Fam.24,49,43
F5_F6,Fam.27,39,12
F5_F6,Fam.31,73,79
F5_F6,Fam.32,82,54
F5_F6,Fam.33,26,36
F5_F6,Fam.34,66,32
F5_F6,Fam.35,97,35
F5_F6,Fam.37,26,0
F5_F6,Fam.38,67,39
F5_F6,Fam.39,66,84
F5_F6,Fam.40,44,99
F5_F6,Fam.42,70,39
F5_F6,Fam.43,55,49
F5_F6,Fam.44,19,18
F5_F6,Fam.45,9,12
