Corr_Gen,Fam.ID,SL1,SL2
G0_F1,Fam.1,87,84
G0_F1,Fam.4,87,84
G0_F1,Fam.5,88,87
G0_F1,Fam.6,87,85
G0_F1,Fam.7,87,86
G0_F1,Fam.8,85,83
G0_F1,Fam.9,85,84
G0_F1,Fam.11,87,86
G0_F1,Fam.12,83,82
G0_F1,Fam.13,84,81
G0_F1,Fam.14,83,85
G0_F1,Fam.16,89,84
G0_F1,Fam.17,86,88
G0_F1,Fam.18,88,88
G0_F1,Fam.19,89,81
G0_F1,Fam.20,86,87
G0_F1,Fam.21,85,79
G0_F1,Fam.22,87,84
G0_F1,Fam.23,88,81
G0_F1,Fam.24,85,83
G0_F1,Fam.27,89,84
G0_F1,Fam.31,86,84
G0_F1,Fam.32,88,84
G0_F1,Fam.33,87,83
G0_F1,Fam.34,87,84
G0_F1,Fam.35,85,79
G0_F1,Fam.38,87,80
G0_F1,Fam.39,87,83
G0_F1,Fam.40,87,84
G0_F1,Fam.42,87,80
G0_F1,Fam.43,88,81
G0_F1,Fam.44,87,85
G0_F1,Fam.45,86,83
F1_F2,Fam.1,84,81
F1_F2,Fam.4,84,83
F1_F2,Fam.5,87,83
F1_F2,Fam.6,85,83
F1_F2,Fam.7,86,84
F1_F2,Fam.8,83,82
F1_F2,Fam.9,84,83
F1_F2,Fam.11,86,85
F1_F2,Fam.12,82,81
F1_F2,Fam.13,81,81
F1_F2,Fam.14,85,83
F1_F2,Fam.16,84,83
F1_F2,Fam.17,88,83
F1_F2,Fam.18,88,86
F1_F2,Fam.19,81,82
F1_F2,Fam.20,87,83
F1_F2,Fam.21,79,83
F1_F2,Fam.22,84,85
F1_F2,Fam.23,81,86
F1_F2,Fam.24,83,83
F1_F2,Fam.27,84,85
F1_F2,Fam.31,84,83
F1_F2,Fam.32,84,83
F1_F2,Fam.33,83,83
F1_F2,Fam.34,84,84
F1_F2,Fam.35,79,84
F1_F2,Fam.38,80,84
F1_F2,Fam.39,83,86
F1_F2,Fam.40,84,85
F1_F2,Fam.42,80,84
F1_F2,Fam.43,81,84
F1_F2,Fam.44,85,85
F1_F2,Fam.45,83,83
F2_F3,Fam.1,81,78
F2_F3,Fam.4,83,82
F2_F3,Fam.5,83,81
F2_F3,Fam.6,83,75
F2_F3,Fam.7,84,81
F2_F3,Fam.8,82,78
F2_F3,Fam.9,83,81
