Corr_Gen,Fam.ID,TV1_mm,TV2_mm,TV1,TV2
G0_F1,Fam.1,0.516,0.228,516,228
G0_F1,Fam.4,0.264,0.312,264,312
G0_F1,Fam.5,0.42,0.42,420,420
G0_F1,Fam.6,0.588,0.264,588,264
G0_F1,Fam.7,0.396,0.24,396,240
G0_F1,Fam.8,0.324,0.36,324,360
G0_F1,Fam.9,0.312,0.492,312,492
G0_F1,Fam.11,0.468,0.456,468,456
G0_F1,Fam.12,0.504,0.228,504,228
G0_F1,Fam.13,0.3,0.444,300,444
G0_F1,Fam.14,0.396,0.324,396,324
G0_F1,Fam.16,0.336,0.504,336,504
G0_F1,Fam.17,0.348,0.348,348,348
G0_F1,Fam.18,0.504,0.492,504,492
G0_F1,Fam.19,0.444,0.504,444,504
G0_F1,Fam.20,0.54,0.42,540,420
G0_F1,Fam.21,0.396,0.228,396,228
G0_F1,Fam.22,0.36,0.492,360,492
G0_F1,Fam.23,0.36,0.48,360,480
G0_F1,Fam.24,0.384,0.384,384,384
G0_F1,Fam.29,0.48,0.444,480,444
G0_F1,Fam.31,0.336,0.504,336,504
G0_F1,Fam.32,0.348,0.432,348,432
G0_F1,Fam.33,0.456,0.492,456,492
G0_F1,Fam.34,0.336,0.252,336,252
G0_F1,Fam.35,0.492,0.564,492,564
G0_F1,Fam.38,0.396,0.18,396,180
G0_F1,Fam.39,0.312,0.408,312,408
G0_F1,Fam.40,0.42,0.312,420,312
G0_F1,Fam.42,0.408,0.408,408,408
G0_F1,Fam.43,0.468,0.372,468,372
G0_F1,Fam.44,0.552,0.432,552,432
G0_F1,Fam.45,0.456,0.432,456,432
F1_F2,Fam.1,0.228,0.324,228,324
F1_F2,Fam.4,0.312,0.324,312,324
F1_F2,Fam.5,0.42,0.336,420,336
F1_F2,Fam.6,0.264,0.288,264,288
F1_F2,Fam.7,0.24,0.204,240,204
F1_F2,Fam.8,0.36,0.468,360,468
F1_F2,Fam.9,0.492,0.396,492,396
F1_F2,Fam.11,0.456,0.228,456,228
F1_F2,Fam.12,0.228,0.288,228,288
F1_F2,Fam.13,0.444,0.204,444,204
F1_F2,Fam.14,0.324,0.36,324,360
F1_F2,Fam.16,0.504,0.348,504,348
F1_F2,Fam.17,0.348,0.252,348,252
F1_F2,Fam.18,0.492,0.372,492,372
F1_F2,Fam.19,0.504,0.3,504,300
F1_F2,Fam.20,0.42,0.42,420,420
F1_F2,Fam.21,0.228,0.468,228,468
F1_F2,Fam.22,0.492,0.384,492,384
F1_F2,Fam.23,0.48,0.336,480,336
F1_F2,Fam.24,0.384,0.312,384,312
F1_F2,Fam.29,0.444,0.396,444,396
F1_F2,Fam.31,0.504,0.564,504,564
F1_F2,Fam.32,0.432,0.612,432,612
F1_F2,Fam.33,0.492,0.48,492,480
F1_F2,Fam.34,0.252,0.588,252,588
F1_F2,Fam.35,0.564,0.552,564,552
F1_F2,Fam.38,0.18,0.36,180,360
F1_F2,Fam.39,0.408,0.396,408,396
F1_F2,Fam.40,0.312,0.492,312,492
F1_F2,Fam.42,0.408,0.36,408,360
F1_F2,Fam.43,0.372,0.396,372,396
F1_F2,Fam.44,0.432,0.408,432,408
F1_F2,Fam.45,0.432,0.348,432,348
F2_F3,Fam.1,0.324,0.216,324,216
F2_F3,Fam.4,0.324,0.276,324,276
F2_F3,Fam.5,0.336,0.264,336,264
F2_F3,Fam.6,0.288,0.372,288,372
F2_F3,Fam.7,0.204,0.288,204,288
F2_F3,Fam.8,0.468,0.348,468,348
F2_F3,Fam.9,0.396,0.36,396,360
F2_F3,Fam.11,0.228,0.252,228,252
F2_F3,Fam.12,0.288,0.384,288,384
F2_F3,Fam.13,0.204,0.336,204,336
F2_F3,Fam.14,0.36,0.264,360,264
F2_F3,Fam.16,0.348,0.288,348,288
F2_F3,Fam.17,0.252,0.204,252,204
F2_F3,Fam.18,0.372,0.42,372,420
F2_F3,Fam.19,0.3,0.384,300,384
F2_F3,Fam.20,0.42,0.408,420,408
F2_F3,Fam.21,0.468,0.408,468,408
F2_F3,Fam.22,0.384,0.324,384,324
F2_F3,Fam.23,0.336,0.312,336,312
F2_F3,Fam.24,0.312,0.336,312,336
F2_F3,Fam.29,0.396,0.396,396,396
F2_F3,Fam.31,0.564,0.276,564,276
F2_F3,Fam.32,0.612,0.384,612,384
F2_F3,Fam.33,0.48,0.036,480,36
F2_F3,Fam.34,0.588,0.276,588,276
F2_F3,Fam.35,0.552,0.384,552,384
F2_F3,Fam.38,0.36,0.264,360,264
F2_F3,Fam.39,0.396,0.288,396,288
F2_F3,Fam.40,0.492,0.336,492,336
