Gen,Family,follicle.count,TV.follicles.mm3,TV.follicles.microns
G0,1,1,0.042758175,42.758175
G0,1,2,0.043993336,43.993336
G0,1,3,0.04210277,42.10277
G0,1,4,0.041823944,41.823944
G0,1,5,0.04447466,44.47466
G0,1,6,0.02845591,28.45591
G0,1,7,0.04228934,42.28934
G0,1,8,0.059184082,59.184082
G0,1,9,0.044959481,44.959481
G0,1,10,0.039103095,39.103095
G0,2,1,0.061913409,61.91340912
G0,2,2,0.063125779,63.12577859
G0,2,3,0.055858646,55.85864573
G0,2,4,0.062275475,62.27547492
G0,2,5,0.029325471,29.32547126
G0,2,6,0.033060052,33.06005152
G0,2,7,0.055298195,55.29819529
G0,2,8,0.044668168,44.66816763
G0,5,1,0.030362136,30.36213604
G0,5,2,0.029398724,29.39872386
G0,5,3,0.041823944,41.82394422
G0,5,4,0.028961033,28.96103298
G0,5,5,0.027533472,27.53347236
G0,5,6,0.035745936,35.74593556
G0,5,7,0.063983787,63.98378722
G0,5,8,0.030512196,30.51219574
G0,5,9,0.023344639,23.34463938
G0,5,10,0.043135729,43.13572886
G0,6,1,0.083401822,83.40182248
G0,6,2,0.039727069,39.72706856
G0,6,3,0.028098727,28.0987272
G0,6,4,0.06215463,62.15462992
G0,6,5,0.065848484,65.84848403
G0,6,6,0.063737854,63.73785365
G0,6,7,0.048759761,48.75976062
G0,6,8,0.029545595,29.54559482
G0,6,9,0.041269992,41.26999195
G0,6,10,0.029914911,29.9149105
G0,7,1,0.051373216,51.37321596
G0,7,2,0.041361976,41.36197555
G0,7,3,0.054409293,54.40929303
G0,7,4,0.021688036,21.68803619
G0,7,5,0.048452237,48.45223676
G0,7,6,0.038573489,38.57348891
G0,7,7,0.022292126,22.29212552
G0,7,8,0.017657521,17.65752069
G0,7,9,0.022231218,22.2312181
G0,7,10,0.013408017,13.40801716
G0,8,1,0.047841074,47.84107354
G0,8,2,0.022721595,22.72159514
G0,8,3,0.042195986,42.19598604
G0,8,4,0.031346369,31.34636928
G0,8,5,0.036249392,36.2493921
G0,8,6,0.024820641,24.82064088
G0,8,7,0.016987707,16.98770699
G0,8,8,0.023031713,23.03171275
G0,8,9,0.010891127,10.89112705
G0,8,10,0.014615386,14.61538631
G0,9,1,0.027744546,27.74454576
G0,9,2,0.023470599,23.47059939
G0,9,3,0.015941846,15.94184635
G0,9,4,0.028671666,28.67166594
G0,9,5,0.019049509,19.04950897
G0,9,6,0.023597012,23.59701169
G0,9,7,0.03219561,32.19560959
G0,9,8,0.03467115,34.67115014
G0,9,9,0.026018218,26.01821809
G0,11,1,0.067877052,67.87705167
G0,11,2,0.060835637,60.83563723
G0,11,3,0.024689892,24.68989151
G0,11,4,0.046236478,46.23647752
G0,11,5,0.048350017,48.35001689
G0,11,6,0.027184067,27.184067
G0,11,7,0.041638746,41.63874622
G0,11,8,0.038485689,38.48568889
G0,11,9,0.037356385,37.35638512
G0,11,10,0.042852356,42.85235637
G0,11,11,0.021988698,21.98869787
G0,11,12,0.011196468,11.19646822
G0,12,1,0.071526529,71.52652874
G0,12,2,0.029325471,29.32547126
G0,12,3,0.042570228,42.57022764
G0,12,4,0.050107404,50.1074038
G0,12,5,0.060006072,60.00607187
G0,12,6,0.043420348,43.42034786
G0,12,7,0.026906681,26.90668072
G0,12,8,0.0243004,24.30040002
G0,12,9,0.037961685,37.96168524
G0,12,10,0.032980834,32.98083418
G0,13,1,0.025215657,25.21565699
G0,13,2,0.023597012,23.59701169
G0,13,3,0.027603711,27.60371077
G0,13,4,0.028599627,28.59962661
G0,13,5,0.027815143,27.81514254
G0,13,6,0.023344639,23.34463938
G0,13,7,0.025548021,25.5480208
G0,13,8,0.029989141,29.98914102
G0,13,9,0.018451993,18.45199257
G0,13,10,0.02449463,24.49462965
G0,13,11,0.0243004,24.30040002
G0,13,12,0.017762106,17.76210593
G0,14,1,0.039191831,39.19183087
G0,14,2,0.032901743,32.90174348
G0,14,3,0.020570524,20.57052401
G0,14,4,0.032822779,32.82277933
G0,14,5,0.035495965,35.49596489
G0,14,6,0.031346369,31.34636928
G0,14,7,0.028027651,28.0276512
G0,14,8,0.039014493,39.01449254
G0,14,9,0.032351646,32.3516462
G0,14,10,0.035495965,35.49596489
G0,14,11,0.034263578,34.26357812
G0,16,1,0.036672533,36.67253251
G0,16,2,0.029840803,29.84080258
G0,16,3,0.028241239,28.2412395
G0,16,4,0.01888529,18.88528997
