Family,ID,Offspring
1,G0,163
2,G0,104
3,G0,130
4,G0,101
5,G0,125
6,G0,126
7,G0,127
8,G0,157
9,G0,81
10,G0,106
11,G0,117
12,G0,103
13,G0,151
14,G0,134
15,G0,120
16,G0,61
17,G0,132
18,G0,131
19,G0,92
20,G0,150
21,G0,154
22,G0,106
23,G0,126
24,G0,153
25,G0,129
26,G0,164
27,G0,44
28,G0,120
29,G0,112
30,G0,134
31,G0,53
32,G0,144
33,G0,120
34,G0,128
35,G0,125
36,G0,165
37,G0,120
38,G0,101
39,G0,117
40,G0,75
41,G0,152
42,G0,128
43,G0,101
44,G0,151
45,G0,125
1,G7,150
2,G7,105
3,G7,110
4,G7,111
5,G7,107
6,G7,107
7,G7,113
8,G7,132
9,G7,101
10,G7,126
11,G7,124
12,G7,116
13,G7,121
14,G7,114
15,G7,126
16,G7,120
17,G7,145
18,G7,120
19,G7,128
20,G7,122
21,G7,155
22,G7,141
23,G7,116
24,G7,117
25,G7,131
26,G7,115
27,G7,145
28,G7,120
29,G7,114
30,G7,140
31,G7,108
32,G7,145
33,G7,119
34,G7,129
35,G7,104
36,G7,132
37,G7,129
38,G7,114
39,G7,129
40,G7,90
41,G7,72
42,G7,170
43,G7,107
44,G7,137
45,G7,104
