Inb.coef,Treatment,Fam.ID,Sperm_length,Trait
0,G0,Fam.1,87,Sperm_Length
0,G0,Fam.2,87,Sperm_Length
0,G0,Fam.5,88,Sperm_Length
0,G0,Fam.6,87,Sperm_Length
0,G0,Fam.7,87,Sperm_Length
0,G0,Fam.8,85,Sperm_Length
0,G0,Fam.9,85,Sperm_Length
0,G0,Fam.11,87,Sperm_Length
0,G0,Fam.12,83,Sperm_Length
0,G0,Fam.13,84,Sperm_Length
0,G0,Fam.14,83,Sperm_Length
0,G0,Fam.16,89,Sperm_Length
0,G0,Fam.17,86,Sperm_Length
0,G0,Fam.18,88,Sperm_Length
0,G0,Fam.19,89,Sperm_Length
0,G0,Fam.20,86,Sperm_Length
0,G0,Fam.21,85,Sperm_Length
0,G0,Fam.22,87,Sperm_Length
0,G0,Fam.23,88,Sperm_Length
0,G0,Fam.24,85,Sperm_Length
0,G0,Fam.27,89,Sperm_Length
0,G0,Fam.31,86,Sperm_Length
0,G0,Fam.32,88,Sperm_Length
0,G0,Fam.33,87,Sperm_Length
0,G0,Fam.34,87,Sperm_Length
0,G0,Fam.35,85,Sperm_Length
0,G0,Fam.38,87,Sperm_Length
0,G0,Fam.39,87,Sperm_Length
0,G0,Fam.40,87,Sperm_Length
0,G0,Fam.42,87,Sperm_Length
0,G0,Fam.43,88,Sperm_Length
0,G0,Fam.44,87,Sperm_Length
0,G0,Fam.45,86,Sperm_Length
0.25,Inb.1,Fam.1,84,Sperm_Length
0.25,Inb.1,Fam.2,85,Sperm_Length
0.25,Inb.1,Fam.5,87,Sperm_Length
0.25,Inb.1,Fam.6,85,Sperm_Length
0.25,Inb.1,Fam.7,86,Sperm_Length
0.25,Inb.1,Fam.8,83,Sperm_Length
0.25,Inb.1,Fam.9,84,Sperm_Length
0.25,Inb.1,Fam.11,86,Sperm_Length
0.25,Inb.1,Fam.12,82,Sperm_Length
0.25,Inb.1,Fam.13,81,Sperm_Length
0.25,Inb.1,Fam.14,85,Sperm_Length
0.25,Inb.1,Fam.16,84,Sperm_Length
0.25,Inb.1,Fam.17,88,Sperm_Length
0.25,Inb.1,Fam.18,88,Sperm_Length
0.25,Inb.1,Fam.19,81,Sperm_Length
0.25,Inb.1,Fam.20,87,Sperm_Length
0.25,Inb.1,Fam.21,79,Sperm_Length
0.25,Inb.1,Fam.22,84,Sperm_Length
0.25,Inb.1,Fam.23,81,Sperm_Length
0.25,Inb.1,Fam.24,83,Sperm_Length
0.25,Inb.1,Fam.27,84,Sperm_Length
0.25,Inb.1,Fam.31,84,Sperm_Length
0.25,Inb.1,Fam.32,84,Sperm_Length
0.25,Inb.1,Fam.33,83,Sperm_Length
0.25,Inb.1,Fam.34,84,Sperm_Length
0.25,Inb.1,Fam.35,79,Sperm_Length
0.25,Inb.1,Fam.38,80,Sperm_Length
0.25,Inb.1,Fam.39,83,Sperm_Length
0.25,Inb.1,Fam.40,84,Sperm_Length
0.25,Inb.1,Fam.42,80,Sperm_Length
0.25,Inb.1,Fam.43,81,Sperm_Length
0.25,Inb.1,Fam.44,85,Sperm_Length
0.25,Inb.1,Fam.45,83,Sperm_Length
0.37,Inb.2,Fam.1,81,Sperm_Length
0.37,Inb.2,Fam.2,84,Sperm_Length
0.37,Inb.2,Fam.5,83,Sperm_Length
0.37,Inb.2,Fam.6,83,Sperm_Length
0.37,Inb.2,Fam.7,84,Sperm_Length
