Inb.coef,Family,ID,Offspring
0,1,G0,163
0,2,G0,104
0,5,G0,125
0,6,G0,126
0,7,G0,127
0,8,G0,157
0,9,G0,81
0,10,G0,106
0,11,G0,117
0,12,G0,103
0,13,G0,151
0,14,G0,134
0,16,G0,61
0,17,G0,132
0,18,G0,131
0,19,G0,92
0,20,G0,150
0,21,G0,154
0,22,G0,106
0,23,G0,126
0,24,G0,153
0,27,G0,44
0,31,G0,53
0,32,G0,144
0,33,G0,120
0,34,G0,128
0,35,G0,125
0,37,G0,120
0,38,G0,101
0,39,G0,117
0,40,G0,75
0,42,G0,128
0,43,G0,101
0,44,G0,151
0,45,G0,125
0.25,1,Inb.1,103
0.25,2,Inb.1,38
0.25,5,Inb.1,144
0.25,6,Inb.1,129
0.25,7,Inb.1,99
0.25,8,Inb.1,95
0.25,9,Inb.1,87
0.25,10,Inb.1,82
0.25,11,Inb.1,116
0.25,12,Inb.1,139
0.25,13,Inb.1,104
0.25,14,Inb.1,55
0.25,16,Inb.1,74
0.25,17,Inb.1,121
0.25,18,Inb.1,142
0.25,19,Inb.1,90
0.25,20,Inb.1,121
0.25,21,Inb.1,80
0.25,22,Inb.1,113
0.25,23,Inb.1,119
0.25,24,Inb.1,108
0.25,27,Inb.1,126
0.25,31,Inb.1,101
0.25,32,Inb.1,158
0.25,33,Inb.1,87
0.25,34,Inb.1,104
0.25,35,Inb.1,26
0.25,37,Inb.1,78
0.25,38,Inb.1,98
0.25,39,Inb.1,108
0.25,40,Inb.1,103
0.25,42,Inb.1,91
0.25,43,Inb.1,64
0.25,44,Inb.1,32
0.25,45,Inb.1,102
0.37,1,Inb.2,57
0.37,2,Inb.2,28
0.37,5,Inb.2,115
0.37,6,Inb.2,91
0.37,7,Inb.2,69
0.37,8,Inb.2,55
0.37,9,Inb.2,90
0.37,10,Inb.2,27
0.37,11,Inb.2,63
0.37,12,Inb.2,57
0.37,13,Inb.2,117
0.37,14,Inb.2,78
0.37,16,Inb.2,106
0.37,17,Inb.2,93
0.37,18,Inb.2,114
0.37,19,Inb.2,113
0.37,20,Inb.2,58
0.37,21,Inb.2,109
0.37,22,Inb.2,107
0.37,23,Inb.2,38
0.37,24,Inb.2,80
