Inb.coef,Family,ID,Testes_vol_mm,Testes_vol
0,1,G0,0.516,516
0,2,G0,0.612,612
0,5,G0,0.42,420
0,6,G0,0.588,588
0,7,G0,0.396,396
0,8,G0,0.324,324
0,9,G0,0.312,312
0,11,G0,0.468,468
0,12,G0,0.504,504
0,13,G0,0.3,300
0,14,G0,0.396,396
0,16,G0,0.336,336
0,17,G0,0.348,348
0,18,G0,0.504,504
0,19,G0,0.444,444
0,20,G0,0.54,540
0,21,G0,0.396,396
0,22,G0,0.36,360
0,23,G0,0.36,360
0,24,G0,0.384,384
0,27,G0,0.432,432
0,31,G0,0.336,336
0,32,G0,0.348,348
0,33,G0,0.456,456
0,34,G0,0.336,336
0,35,G0,0.492,492
0,38,G0,0.396,396
0,39,G0,0.312,312
0,40,G0,0.42,420
0,42,G0,0.408,408
0,43,G0,0.468,468
0,44,G0,0.552,552
0,45,G0,0.456,456
0.25,1,Inb.1,0.228,228
0.25,2,Inb.1,0.324,324
0.25,5,Inb.1,0.42,420
0.25,6,Inb.1,0.264,264
0.25,7,Inb.1,0.24,240
0.25,8,Inb.1,0.36,360
0.25,9,Inb.1,0.492,492
0.25,11,Inb.1,0.456,456
0.25,12,Inb.1,0.228,228
0.25,13,Inb.1,0.444,444
0.25,14,Inb.1,0.324,324
0.25,16,Inb.1,0.504,504
0.25,17,Inb.1,0.348,348
0.25,18,Inb.1,0.492,492
0.25,19,Inb.1,0.504,504
0.25,20,Inb.1,0.42,420
0.25,21,Inb.1,0.228,228
0.25,22,Inb.1,0.492,492
0.25,23,Inb.1,0.48,480
0.25,24,Inb.1,0.384,384
0.25,27,Inb.1,0.528,528
0.25,31,Inb.1,0.504,504
0.25,32,Inb.1,0.432,432
0.25,33,Inb.1,0.492,492
0.25,34,Inb.1,0.252,252
0.25,35,Inb.1,0.564,564
0.25,38,Inb.1,0.18,180
0.25,39,Inb.1,0.408,408
0.25,40,Inb.1,0.312,312
0.25,42,Inb.1,0.408,408
0.25,43,Inb.1,0.372,372
0.25,44,Inb.1,0.432,432
0.25,45,Inb.1,0.432,432
0.37,1,Inb.2,0.324,324
0.37,2,Inb.2,0.348,348
0.37,5,Inb.2,0.336,336
0.37,6,Inb.2,0.288,288
0.37,7,Inb.2,0.204,204
0.37,8,Inb.2,0.468,468
0.37,9,Inb.2,0.396,396
0.37,11,Inb.2,0.228,228
0.37,12,Inb.2,0.288,288
0.37,13,Inb.2,0.204,204
0.37,14,Inb.2,0.36,360
0.37,16,Inb.2,0.348,348
0.37,17,Inb.2,0.252,252
0.37,18,Inb.2,0.372,372
0.37,19,Inb.2,0.3,300
0.37,20,Inb.2,0.42,420
0.37,21,Inb.2,0.468,468
0.37,22,Inb.2,0.384,384
0.37,23,Inb.2,0.336,336
0.37,24,Inb.2,0.312,312
0.37,27,Inb.2,0.432,432
