Sex,Family,ID,Elytra_mm,Elytra
Male,1,G0,2.327,2327
Male,2,G0,2.423,2423
Male,3,G0,2.409,2409
Male,4,G0,2.234,2234
Male,5,G0,2.371,2371
Male,6,G0,2.498,2498
Male,7,G0,2.573,2573
Male,8,G0,2.422,2422
Male,9,G0,2.62,2620
Male,10,G0,2.472,2472
Male,11,G0,2.589,2589
Male,12,G0,2.407,2407
Male,13,G0,2.421,2421
Male,14,G0,2.47,2470
Male,15,G0,2.441,2441
Male,16,G0,2.411,2411
Male,17,G0,2.378,2378
Male,18,G0,2.623,2623
Male,19,G0,2.493,2493
Male,20,G0,2.503,2503
Male,21,G0,2.482,2482
Male,22,G0,2.501,2501
Male,23,G0,2.375,2375
Male,24,G0,2.427,2427
Male,25,G0,2.561,2561
Male,26,G0,2.384,2384
Male,27,G0,2.578,2578
Male,28,G0,2.572,2572
Male,29,G0,2.551,2551
Male,30,G0,2.499,2499
Male,31,G0,2.398,2398
Male,32,G0,2.494,2494
Male,33,G0,2.451,2451
Male,34,G0,2.436,2436
Male,35,G0,2.603,2603
Male,36,G0,2.582,2582
Male,37,G0,2.492,2492
Male,38,G0,2.564,2564
Male,39,G0,2.403,2403
Male,40,G0,2.439,2439
Male,41,G0,2.455,2455
Male,42,G0,2.333,2333
Male,43,G0,2.468,2468
Male,44,G0,2.545,2545
Male,45,G0,2.517,2517
Male,1,Inb.1,2.347,2347
Male,2,Inb.1,2.354,2354
Male,3,Inb.1,2.481,2481
Male,4,Inb.1,2.36,2360
Male,5,Inb.1,2.502,2502
Male,6,Inb.1,2.576,2576
Male,7,Inb.1,2.354,2354
Male,8,Inb.1,2.279,2279
Male,9,Inb.1,2.562,2562
Male,10,Inb.1,2.46,2460
Male,11,Inb.1,2.458,2458
Male,12,Inb.1,2.157,2157
Male,13,Inb.1,2.416,2416
Male,14,Inb.1,2.419,2419
Male,15,Inb.1,2.523,2523
Male,16,Inb.1,2.428,2428
Male,17,Inb.1,2.405,2405
Male,18,Inb.1,2.469,2469
Male,19,Inb.1,2.443,2443
Male,20,Inb.1,2.388,2388
Male,21,Inb.1,2.452,2452
Male,22,Inb.1,2.433,2433
Male,23,Inb.1,2.389,2389
Male,24,Inb.1,2.303,2303
Male,25,Inb.1,2.6,2600
Male,26,Inb.1,2.474,2474
Male,27,Inb.1,2.501,2501
Male,28,Inb.1,2.253,2253
Male,29,Inb.1,2.507,2507
Male,30,Inb.1,2.476,2476
Male,31,Inb.1,2.51,2510
Male,32,Inb.1,2.611,2611
Male,33,Inb.1,2.433,2433
Male,34,Inb.1,2.347,2347
Male,35,Inb.1,2.532,2532
Male,36,Inb.1,2.528,2528
Male,37,Inb.1,2.455,2455
Male,38,Inb.1,2.464,2464
Male,39,Inb.1,2.465,2465
Male,40,Inb.1,2.497,2497
Male,41,Inb.1,2.319,2319
Male,42,Inb.1,2.43,2430
Male,43,Inb.1,2.46,2460
Male,44,Inb.1,2.371,2371
Male,45,Inb.1,2.588,2588
Male,1,Inb.2,2.328,2328
Male,2,Inb.2,2.464,2464
Male,3,Inb.2,2.383,2383
Male,4,Inb.2,2.337,2337
Male,5,Inb.2,2.424,2424
Male,6,Inb.2,2.506,2506
Male,7,Inb.2,2.396,2396
Male,8,Inb.2,2.408,2408
Male,9,Inb.2,2.457,2457
Male,10,Inb.2,2.46,2460
Male,11,Inb.2,2.506,2506
Male,12,Inb.2,2.399,2399
Male,13,Inb.2,2.484,2484
Male,14,Inb.2,2.344,2344
Male,15,Inb.2,2.411,2411
Male,16,Inb.2,2.393,2393
Male,17,Inb.2,2.441,2441
Male,18,Inb.2,2.471,2471
Male,19,Inb.2,2.532,2532
Male,20,Inb.2,2.484,2484
Male,21,Inb.2,2.398,2398
