Sex,Fam.ID,Rep.ID,Lifespan,Status,Gen,,
Male,1,A,86,1,G0,,
Male,1,B,86,1,G0,,
Male,2,A,78,1,G0,,
Male,2,B,82,1,G0,,
Male,3,A,78,1,G0,,
Male,3,B,78,1,G0,,
Male,4,A,34,1,G0,,
Male,4,B,94,1,G0,,
Male,5,A,98,1,G0,,
Male,5,B,70,1,G0,,
Male,6,A,90,1,G0,,
Male,6,B,94,1,G0,,
Male,7,A,86,1,G0,,
Male,7,B,98,1,G0,,
Male,8,A,90,1,G0,,
Male,8,B,90,1,G0,,
Male,9,A,74,1,G0,,
Male,9,B,86,1,G0,,
Male,10,A,82,1,G0,,
Male,10,B,62,1,G0,,
Male,11,A,70,1,G0,,
Male,11,B,98,1,G0,,
Male,12,A,70,1,G0,,
Male,12,B,74,1,G0,,
Male,13,A,82,1,G0,,
Male,13,B,54,1,G0,,
Male,14,A,46,1,G0,,
Male,14,B,106,1,G0,,
Male,15,A,30,1,G0,,
Male,15,B,70,1,G0,,
Male,16,A,54,1,G0,,
Male,16,B,86,1,G0,,
Male,17,A,66,1,G0,,
Male,17,B,98,1,G0,,
Male,18,A,86,1,G0,,
Male,18,B,82,1,G0,,
Male,19,A,78,1,G0,,
Male,19,B,74,1,G0,,
Male,20,A,106,1,G0,,
Male,20,B,82,1,G0,,
Male,21,A,62,1,G0,,
Male,21,B,82,1,G0,,
Male,22,A,102,1,G0,,
Male,22,B,102,1,G0,,
Male,23,A,46,1,G0,,
Male,23,B,90,1,G0,,
Male,24,A,14,1,G0,,
Male,24,B,98,1,G0,,
Male,25,A,42,1,G0,,
Male,25,B,98,1,G0,,
Male,26,A,62,1,G0,,
Male,26,B,5,1,G0,,
Male,27,A,14,1,G0,,
Male,27,B,78,1,G0,,
Male,28,A,82,1,G0,,
Male,28,B,102,1,G0,,
Male,29,A,70,1,G0,,
Male,29,B,82,1,G0,,
Male,30,A,58,1,G0,,
Male,30,B,86,1,G0,,
Male,31,A,86,1,G0,,
Male,31,B,98,1,G0,,
Male,32,A,62,1,G0,,
Male,32,B,82,1,G0,,
Male,33,A,86,1,G0,,
Male,33,B,94,1,G0,,
Male,34,A,82,1,G0,,
Male,34,B,5,1,G0,,
Male,35,A,82,1,G0,,
Male,35,B,98,1,G0,,
Male,36,A,98,1,G0,,
Male,36,B,74,1,G0,,
Male,37,A,58,1,G0,,
Male,37,B,62,1,G0,,
Male,38,A,86,1,G0,,
Male,38,B,42,1,G0,,
Male,39,A,70,1,G0,,
Male,39,B,82,1,G0,,
Male,40,A,94,1,G0,,
Male,40,B,86,1,G0,,
Male,41,A,38,1,G0,,
Male,41,B,42,1,G0,,
Male,42,A,38,1,G0,,
Male,42,B,90,1,G0,,
Male,43,A,74,1,G0,,
Male,43,B,98,1,G0,,
Male,44,A,78,1,G0,,
Male,44,B,58,1,G0,,
Male,45,A,82,1,G0,,
Male,45,B,90,1,G0,,
Male,1,A,5,1,Inb.1,,
Male,1,B,63,1,Inb.1,,
Male,2,A,6,1,Inb.1,,
Male,2,B,99,1,Inb.1,,
Male,3,A,56,1,Inb.1,,
Male,3,B,39,1,Inb.1,,
Male,4,A,39,1,Inb.1,,
Male,4,B,1,1,Inb.1,,
Male,5,A,43,1,Inb.1,,
Male,5,B,63,1,Inb.1,,
Male,6,A,31,1,Inb.1,,
Male,6,B,71,1,Inb.1,,
Male,7,A,59,1,Inb.1,,
Male,7,B,95,1,Inb.1,,
Male,8,A,59,1,Inb.1,,
Male,8,B,75,1,Inb.1,,
Male,9,A,71,1,Inb.1,,
Male,9,B,43,1,Inb.1,,
Male,10,A,43,1,Inb.1,,
Male,10,B,67,1,Inb.1,,
Male,11,A,63,1,Inb.1,,
